Provinsi,Kab_Kota,Kecamatan,Kelurahan_Desa,Alamat,Nama_SPPG,Longitude,Latitude
JAWA TIMUR,PAMEKASAN,LARANGAN,MONTOK,"Jl. Raya Pamekasan Sumenep No.96, Kaduara Barat, Montok, Kec. Larangan, Kab. Pamekasan, Jawa Timur",SPPG Pamekasan Larangan Montok 2,113.580666,-7.132723
JAWA TIMUR,NGANJUK,REJOSO,SUKOREJO,"Jl. Halim Perdana Kusuma, Rt.004 Rw.001, Sukorejo, Kec. Rejoso, Kab. Nganjuk, Jawa Timur",SPPG Nganjuk Rejoso Sukorejo 2,111.8857286,-7.5605073
JAWA TIMUR,BONDOWOSO,CURAHDAMI,PONCOGATI,"Jl. Diponegoro Rt 09 Rw 02 , Poncogati, Kec. Curahdami, Kab. Bondowoso, Jawa Timur",SPPG Bondowoso Curahdami Poncogati,113.802674536832,-7.903581527797
JAWA TIMUR,PAMEKASAN,TLANAKAN,AMBAT,"Jl. Taman Sari No. 09, Ambat, Kec. Tlanakan, Kab. Pamekasan, Jawa Timur",SPPG Pamekasan Tlanakan Ambat 2,113.42401,-7.206762
JAWA TIMUR,KOTA SURABAYA,BUBUTAN,TEMBOK DUKUH,"Jl. Demak Madya No. 11 A, Tembok Dukuh, Kec. Bubutan, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Bubutan Tembok Dukuh,112.720021993257,-7.250074002543
JAWA TIMUR,PASURUAN,POHJENTREK,PARASREJO,"Dusun Panulupan Musholla, Rt.001/Rw.003, Parasrejo, Kec. Pohjentrek, Kab. Pasuruan, Jawa Timur",SPPG Pasuruan Pohjentrek Parasrejo,112.8792762,-7.6629331
JAWA TIMUR,MAGETAN,PANEKAN,TURI,"Area Persawahan, Desa Turi, Kecamatan Panekan, Kabupaten Magetan, Jawa Timur",SPPG Magetan Panekan Turi,111.302939,-7.599333
JAWA TIMUR,MOJOKERTO,PURI,KEBONAGUNG,"Sumber Sroyo, Kebonagung, Kecamatan Puri, Kabupaten Mojokerto, Jawa Timur",SPPG Mojokerto Puri Kebonagung,112.465134,-7.5394823
JAWA TIMUR,LAMONGAN,MODO,KEDUNGREJO,"Dusun Karangpilang Rt 004 Rw 001, Desa Kedungrejo, Kecamatan Modo, Kabupaten Lamongan, Jawa Timur",SPPG Lamongan Modo Kedungrejo,112.1655454,-7.1628031
JAWA TIMUR,KEDIRI,NGASEM,TUGUREJO,"Jl. Sumatera Jaya, Desa Tugurejo, Dusun Jeruk Rt 04 Rw 04, Kecamatan Ngasem, Kabupaten Kediri, Jawa Timur",SPPG Kediri Ngasem Tugurejo,112.056793,-7.830165
