Provinsi,Kab_Kota,Kecamatan,Kelurahan_Desa,Alamat,Nama_SPPG,Longitude,Latitude
JAWA TIMUR,SUMENEP,ARJASA,KALINGANYAR,"Jl. Bujutan, Kalinganyar, Kalianyar, Kec. Arjasa, Kabupaten Sumenep, Jawa Timur",SPPG Sumenep Arjasa Kalinganyar,115.3000113,-6.8685301
JAWA TIMUR,BOJONEGORO,BALEN,BALENREJO,"Jl. Puk No. 556 , Balenrejo, Kec. Balen, Kab. Bojonegoro, Jawa Timur",SPPG Bojonegoro Balen Balenrejo,111.9602161,-7.1932512
JAWA TIMUR,SIDOARJO,KREMBUNG,TAMBAKREJO,"Dusun Awar-Awar Rt 020 Rw 010 Desa Tambakrejo, Krembung, Kab. Sidoarjo, Jawa Timur",SPPG Sidoarjo Krembung Tambakrejo,112.6607962,-7.5467458
JAWA TIMUR,PASURUAN,KEJAYAN,TANGGULANGIN,"Jl. Raya Kejayan No.9, Besuk, Tanggulangin, Kec. Kejayan, Kab. Pasuruan, Jawa Timur",SPPG Pasuruan Kejayan Tanggulangin,112.852261,-7.72304
JAWA TIMUR,JEMBER,PAKUSARI,KERTOSARI,"Dusun Sumber Dandang Rt. 02 Rw. 09, Kertosari, Kec. Pakusari, Kab. Jember, Jawa Timur",SPPG Jember Pakusari Kertosari,113.760827,-8.1751699
JAWA TIMUR,KEDIRI,GAMPENGREJO,NGEBRAK,"Dusun Grompol, Desa Ngebrak, Kecamatan Gampingrejo, Kabupaten Kediri, Jawa Timur",SPPG Kediri Gampengrejo Ngebrak,112.0288637,-7.7522154
JAWA TIMUR,KOTA MALANG,KLOJEN,KASIN,"Jl. Pulau Batam No 15, Kasin, Kecamatan Klojen, Kota Malang, Jawa Timur",SPPG Kota Malang Klojen Kasin 2,112.62490000698,-7.997884982265
JAWA TIMUR,MALANG,TUMPANG,TUMPANG,"Jl. Raya Jeru, Rt.001 Rw.001, Tumpang, Kec. Tumpang, Kab. Malang, Jawa Timur",SPPG Malang Tumpang Tumpang 3,112.7598,-8.008
JAWA TIMUR,SUMENEP,KOTA SUMENEP,KOLOR,"Jl. Adirasa No.6, Kothe, Kel. Kolor, Kecamatan Kota Sumenep, Kabupaten Sumenep, Jawa Timur",SPPG Sumenep Kota Sumenep Kolor,113.865335134888,-7.02007032157
JAWA TIMUR,MOJOKERTO,TROWULAN,DOMAS,"Jalan Lengkong No. 23, Dusun Sambi Gede, Desa Domas, Kecamatan Trowulan, Kabupaten Mojokerto, Provinsi Jawa Timur",SPPG Mojokerto Trowulan Domas,112.405813,-7.548849
JAWA TIMUR,PROBOLINGGO,PAKUNIRAN,BUCOR KULON,"Dusun Pasar Rt 16 Rw 04 Desa Bucor Kulon, Kec. Pakuniran, Kab. Probolinggo, Jawa Timur",SPPG Probolinggo Pakuniran Bucor Kulon 2,113.5148,-7.7673
JAWA TIMUR,TUBAN,PARENGAN,MERGOASRI,"Mergoasri, Kecamatan Parengan, Kabupaten Tuban, Jawa Timur",SPPG Tuban Parengan Mergoasri 2,111.8111272,-7.0686395
JAWA TIMUR,KOTA SURABAYA,KREMBANGAN,DUPAK,"Jl. Dupak Bangunsari No.27-29, Dupak, Kec. Krembangan, Kota Surabaya, Jawa Timur",SPPG Kota Surabaya Krembangan Dupak,112.718225919045,-7.238083187136
JAWA TIMUR,BANGKALAN,BANGKALAN,MARTAJASAH,"Mertajasah, Kecamatan Bangkalan, Kabupaten Bangkalan, Jawa Timur",SPPG Bangkalan Bangkalan Martajasah 2,112.7233812,-7.0418371
JAWA TIMUR,SAMPANG,BANYUATES,ASEM JARAN,Dusun Minian Desa Asem Jaran,SPPG Sampang Banyuates Asem Jaran,113.1295311,-6.9254882
JAWA TIMUR,KOTA BLITAR,SANANWETAN,BENDOGERIT,"Jl. Kalasan, Kel. Bendogerit, Kec. Sananwetan, Kota Blitar, Jawa Timur",SPPG Kota Blitar Sananwetan Bendogerit 4,112.178632853251,-8.087098669869
JAWA TIMUR,MAGETAN,MAGETAN,MANGKUJAYAN,"Jl. Mayjend Sungkono No. 101, Sukowinangun, Kecamatan Magetan, Kabupaten Magetan, Jawa Timur",SPPG Magetan Magetan Mangkujayan,111.329209491533,-7.64184950598
JAWA TIMUR,MADIUN,KEBONSARI,SIDOREJO,"Kalilumbu, Rt 019 Rw 009, Dapur 3 Sidorejo Kec, Kebonsari, Kab, Madiun, Jawa Timur",SPPG Madiun Kebonsari Sidorejo 3,111.4884506,-7.7415787
JAWA TIMUR,SAMPANG,CAMPLONG,BANJAR TALELA,"Jl. Raya Taddan, Banjar Talela, Kec. Camplong, Kab. Sampang, Jawa Timur",SPPG Sampang Camplong Banjar Talela 3,113.299344,-7.193319
JAWA TIMUR,KEDIRI,KEPUNG,KENCONG,"Jl. Kencong Kidul RT 017 / RW 003, Dusun Kencong Barat, Desa Kencong, Kec. Kepung, Kab. Kediri, Jawa Timur",SPPG Kediri Kepung Kencong 3,112.2336143,-7.775603
JAWA TIMUR,JOMBANG,DIWEK,CEWENG,"Jl. Raya Bandung No.56, Dusun Pengkol, Desa Ceweng, Kecamatan Diwek, Kabupaten Jombang, Jawa Timur",SPPG Jombang Diwek Ceweng 2,112.2363507,-7.5882126
JAWA TIMUR,LAMONGAN,BRONDONG,SEDAYULAWAS,"Jl. Daendles Km 83, Sedayulawas, Kec. Brondong, Kab. Lamongan, Jawa Timur",SPPG Lamongan Brondong Sedayulawas,112.252629,-6.890416
JAWA TIMUR,BONDOWOSO,BONDOWOSO,PANCORAN,"Jl. Mastrip Desa Pancoran, Kec. Bondowoso, Kab. Bondowoso, Jawa Timur",SPPG Bondowoso Bondowoso Pancoran,113.807068919787,-7.953369128866
JAWA TIMUR,KOTA MALANG,KLOJEN,KIDULDALEM,"`SPPG Kartika Nawa Indonesia Jalan Trunojoyo No. 2 Kav. 4 RT 002 RW 008, Kelurahan Kiduldalem, Kecamatan Klojen, Kota Malang, Provinsi Jawa Timur",SPPG Kota Malang Klojen Kiduldalem,112.010747663858,-7.813784379903
JAWA TIMUR,KOTA KEDIRI,KOTA,NGADIREJO,"Jl. Imam Bonjol, Kota Kediri No.12, Ngadirejo, Kec. Kota, Kota Kediri, Jawa Timur",SPPG Kota Kediri Kota Ngadirejo 5,112.027126769663,-7.813213897345
JAWA TIMUR,LAMONGAN,MODO,YUNGYANG,"Jl. Guwo Rt003 Rw 004, Yungyang, Kec. Modo, Kab. Lamongan, Jawa Timur",SPPG Lamongan Modo Yungyang 2,112.1742296,-7.228421
JAWA TIMUR,GRESIK,MENGANTI,BOTENG,"Kecipik, Boteng,  Kec. Menganti, Kab. Gresik, Jawa Timur",SPPG Gresik Menganti Boteng,112.569702,-7.269282
JAWA TIMUR,BLITAR,PANGGUNGREJO,PANGGUNGREJO,"Dusun Kaligambang, Rt 06 Rw 02, Desa Panggungrejo, Kecamatan Panggungrejo, Kabupaten Blitar, Provinsi Jawa Timur",SPPG Blitar Panggungrejo Panggungrejo 2,112.268946048648,-8.250661787333
JAWA TIMUR,SIDOARJO,TULANGAN,JANTI,Jalan Kenanga RT 004 RW 003 Desa Janti Kecamatan Tulangan,SPPG Sidoarjo Tulangan Janti,112.6219759,-7.4802372
JAWA TIMUR,LUMAJANG,JATIROTO,SUKOSARI,"Jl. Raya Wonorejo, Sukosari, Kec. Jatiroto, Kab. Lumajang, Jawa Timur",SPPG Lumajang Jatiroto Sukosari,113.3253966,-8.1210559
JAWA TIMUR,SITUBONDO,KENDIT,KENDIT,"Jl. Raya Kendit, Desa Kendit, Kec. Kendit, Kab. Situbondo, Jawa Timur",SPPG Situbondo Kendit Kendit,113.927556,-7.732281
JAWA TIMUR,BANGKALAN,KONANG,BATOKABAN,"Dusun Sok-Sok, Desa Batokaban, Batokaban, Kec. onang, Kab. Bangkalan, Jawa Timur",SPPG Bangkalan Konang Batokaban,113.031159,-7.0248801
JAWA TIMUR,PROBOLINGGO,KRAKSAAN,KRAKSAAN WETAN,"Jl. Sunan Kudus No. 02, Kraksaan Wetan, Kec. Kraksaan, Kab. Probolinggo, Jawa Timur",SPPG Probolinggo Kraksaan Kraksaan Wetan,113.424472968935,-7.755886030823
JAWA TIMUR,PAMEKASAN,BATUMARMAR,BUJUR TENGAH,"Desa Bujur Tengah, Kec. Batumarmar, Kab. Pamekasan, Jawa Timur",SPPG Pamekasan Batumarmar Bujur Tengah 3,113.49048,-6.990275
JAWA TIMUR,SIDOARJO,SIDOARJO,SUKO,"Puri Indah, Rt.07/Rw.03, Ngemplak, Cemeng Kalang, Suko, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61224",SPPG Sidoarjo Sidoarjo Suko 2,112.680709,-7.454215
JAWA TIMUR,BOJONEGORO,KAPAS,KAPAS,Desa Kapas kecamatan Kapas Kabupaten Bojonegoro,SPPG Bojonegoro Kapas Kapas,111.9118185,-7.156304
JAWA TIMUR,GRESIK,KEBOMAS,KEBOMAS,"Jl. Dr. Wahidin Sudhiro Husada No. 105, Kebomas, Gresik, Jawa Timur",SPPG Gresik Kebomas Kebomas,112.622596308284,-7.157984881644
JAWA TIMUR,NGANJUK,KERTOSONO,KUDU,"Jl. Kelud No. 18 Kudu, Kertosono, Nganjuk, Jawa Timur",SPPG Nganjuk Kertosono Kudu,112.111562123574,-7.584668387465
JAWA TIMUR,MADIUN,KEBONSARI,REJOSARI,"Jl. Masjid Miftahul Huda, Rt 043 Rw 008, Desa Rejosari Kecamatan Kebonsari, Kabupaten Madiun, Jawa Timur",SPPG Madiun Kebonsari Rejosari,111.47482457524,-7.712241202789
JAWA TIMUR,TRENGGALEK,TRENGGALEK,NGANTRU,Gang Sawe No.1 Kelurahan Ngantru Kecamatan Trenggalek Kabupaten Trenggalek Provinsi Jawa Timur,SPPG Trenggalek Trenggalek Ngantru,111.7020291,-8.04272
JAWA TIMUR,KOTA PASURUAN,PURWOREJO,PURWOREJO,Jl. Sultan Agung IV No. 2,SPPG Kota Pasuruan Purworejo Purworejo,112.901508385735,-7.662158788956
JAWA TIMUR,JOMBANG,DIWEK,DIWEK,"Jl. Dusun Tanon, Rt.Rw/Rw.01 02, Diwek, Kecamatan Diwek, Kabupaten Jombang, Jawa Timur",SPPG Jombang Diwek Diwek 2,112.237600801623,-7.591901089806
JAWA TIMUR,PAMEKASAN,LARANGAN,PELTONG,"Dusun Barat Lorong, Desa Peltong Kec. Larangan Kab. Pamekasan, Peltong, Larangan, Kab. Pamekasan, Jawa Timur",SPPG Pamekasan Larangan Peltong,113.54702,-7.12875
JAWA TIMUR,JEMBER,PATRANG,BINTORO,"Jl. Branjangan No.1 Bintoro, Kec. Patrang, Kab. Jember, Jawa Timur",SPPG Jember Patrang Bintoro 2,113.699782,-8.129924
JAWA TIMUR,SAMPANG,SOKOBANAH,SOKOBANAH DAYA,"Jl Merdeka, Lebak, Desa Sokobanah Daya Kecamatan Sokobanah Kabupaten Sampang, SOKOBANAH DAYA, SOKOBANAH, KAB. SAMPANG, JAWA TIMUR",SPPG Sampang Sokobanah Sokobanah Daya,113.4347,-6.89
JAWA TIMUR,SIDOARJO,SIDOARJO,SIDOKLUMPUK,"Jalan Monginsidi Kavling DPR No. 5, Kelurahan Sidoklumpuk, Kecamatan Sidoarjo, Kabupaten Sidoarjo, Provinsi Jawa Timur",SPPG Sidoarjo Sidoarjo Blurukidul,112.7241718,-7.4495882
JAWA TIMUR,BONDOWOSO,WONOSARI,SUMBERKALONG,"Jl. Kh. Ghozali, Dusun Blok Jeding Desa Sumber Kalong Kecamatan Wonosari, Kabupaten Bondowoso, Jawa Timur",SPPG Bondowoso Wonosari Sumberkalong 2,113.889914,-7.8959284
JAWA TIMUR,PROBOLINGGO,PAITON,SUMBERANYAR,"Dusun Krajan Rt 019 Rw 006, Sumberanyar, Kec. Paiton, Kab. Probolinggo, Jawa Timur",SPPG Probolinggo Paiton Sumberanyar,113.5287732,-7.7176769
JAWA TIMUR,BANGKALAN,LABANG,LABANG,"Jl. Raya, Labang Anyar, Kelurahan Labang, Kecamatan Labang, Kabupaten Bangkalan, Jawa Timur",SPPG Bangkalan Labang Labang,112.776119796402,-7.138935089337
JAWA TIMUR,NGANJUK,GONDANG,NGUJUNG,"Jl Gondang lengkong no 7-9. RT 03/RW 01 Kedung Pilang, Desa Ngujung, Kec. Gondang, Kab. Nganjuk, Jawa&amp;amp;nbsp;Timur,&amp;amp;nbsp;64451",SPPG Nganjuk Gondang Ngujung,111.999408,-7.54071
JAWA TIMUR,SAMPANG,CAMPLONG,PRAJJAN,"Jl. Raya Prajjan, Desa Prajjan, Kecamatan Camplong, Kabupaten Sampang",SPPG Sampang Camplong Prajjan,113.3204518,-7.1963092
JAWA TIMUR,SIDOARJO,CANDI,CANDI,"Jl. Raya Candi No 65, Desa/Kelurahan Candi, Kec. Candi, Kab. Sidoarjo, Jawa Timur",SPPG Sidoarjo Candi Candi,112.71192226231,-7.477794174357
JAWA TIMUR,BOJONEGORO,BALEN,KENEP,"Jalan Liring Kuning RT 10/RW 02, Desa Kenep, Kecamatan Balen, Kabupaten Bojonegoro, Jawa Timur",SPPG Bojonegoro Balen Kenep,111.972539,-7.228235
JAWA TIMUR,PONOROGO,SAWOO,PANGKAL,"Dusun Pangkal, Rt 002 Rw 003, Kel./Desa Pangkal, Kec. Sawoo, Kab. Ponorogo, Jawa Timur",SPPG Ponorogo Sawoo Pangkal,111.577815,-8.019088
JAWA TIMUR,TRENGGALEK,DURENAN,PANDEAN,"Jl. Raya Trenggalek Tulungagung, Rt 07 Rw 02 Pandean, Kec. Durenan Trenggalek, Kab. Trenggalek, Jawa Timur",SPPG Trenggalek Durenan Pandean,111.813352027337,-8.117780032724
JAWA TIMUR,BLITAR,KESAMBEN,JUGO,"Dusun Plampangan, Desa Jugo, Rt 05 Rw 02 Kecamatan Kesamben, Kabupaten Blitar, Jawa Timur",SPPG Blitar Kesamben Jugo,112.34265,-8.165276
JAWA TIMUR,LAMONGAN,LAMONGAN,TLOGOANYAR,"Jl. Raya Soewoko, Tlogoanyar, Kec. Lamongan, Kab. Lamongan, Jawa Timur",SPPG Lamongan Lamongan Tlogoanyar 2,112.4199598,-7.1313019
JAWA TIMUR,MALANG,TIRTOYUDO,AMPELGADING,"Sanggrahan, Desa Ampelgading, Kecamatan Tirtoyudo, Kabupaten Malang, Jawa Timur",SPPG Malang Tirtoyudo Ampelgading,112.8929221,-8.222235
JAWA TIMUR,MAGETAN,PLAOSAN,PLAOSAN,JL. RAYA SARANGAN RT.003/RW.001 KEL. PLAOSAN KEC. PLAOSAN KAB. MAGETAN,SPPG Magetan Plaosan Bulugunung,111.253652088034,-7.681746050764
JAWA TIMUR,TRENGGALEK,DONGKO,DONGKO,"Rt 14 Rw 03 Dusun Blimbing Kec.Dongko  Kabupaten Trenggalek, Dongko, Dongko, Kab. Trenggalek, Jawa Timur",SPPG Trenggalek Dongko Dongko,111.5746,-8.1882
JAWA TIMUR,JEMBER,TANGGUL,TANGGULWETAN,"Dusun Curahbamban, Desa Tanggulwetan, Kec. Tanggul, Kab. Jember, Jawa Timur",SPPG Jember Tanggul Tanggulwetan 3,113.4647736,-8.1742968
JAWA TIMUR,KOTA MALANG,BLIMBING,KESATRIAN,"Jl. P. Sudirman No.1, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur",SPPG Kota Malang Blimbing Kesatrian,112.642092800513,-7.979379236342
JAWA TIMUR,BANYUWANGI,MUNCAR,WRINGINPUTIH,"Kabatmantren, Wringinputih, Kec. Muncar, Kab. Banyuwangi, Jawa Timur",SPPG Banyuwangi Muncar Wringinputih 4,114.3308,-8.4699
JAWA TIMUR,PASURUAN,KRATON,SIDOGIRI,"Dusun Sidogiri, Sidogiri, Kec. Kraton, Kab. Pasuruan, Jawa Timur",SPPG Pasuruan Kraton Sidogiri,112.837188,-7.6688584
JAWA TIMUR,KOTA MADIUN,TAMAN,DEMANGAN,"Jl. H. Moch Noor No 1 , Taman, Kota Madiun, Jawa Timur",SPPG Kota Madiun Taman Demangan 3,111.5265943,-7.6570243
JAWA TIMUR,LAMONGAN,BABAT,TRITUNGGAL,"RT.7 RW.4, Beton, Tritunggal, Kec. Babat, Kab. Lamongan, Jawa Timur",SPPG Lamongan Babat Tritunggal,112.252885,-7.098146
JAWA TIMUR,MALANG,GONDANGLEGI,GONDANGLEGI WETAN,"Jl. Hayam Wuruk No.22, Gondanglegi Wetan, Kec. Gondanglegi, Kab. Malang, Jawa Timur",SPPG Malang Gondanglegi Gondanglegi Wetan 2,112.6372171,-8.1814001
JAWA TIMUR,KEDIRI,TAROKAN,BLIMBING,"Blimbing Lor, Blimbing, Kecamatan Tarokan, Kabupaten Kediri, Jawa Timur",SPPG Kediri Tarokan Blimbing,111.9778829,-7.6954174
JAWA TIMUR,PONOROGO,BADEGAN,WATUBONANG,"Jl. Badegan Dayakan, Watubonang, Kec. Badegan, Kab. Ponorogo, Jawa Timur",SPPG Ponorogo Badegan Watubonang,111.310231,-7.894121
JAWA TIMUR,KOTA MOJOKERTO,KRANGGAN,MERI,"Lingkungan Kuwung Rt/Rw 02/03, Meri, Kec. Kranggan, Kota Mojokerto, Jawa Timur",SPPG Kota Mojokerto Kranggan Meri 2,112.445780994687,-7.487024157067
JAWA TIMUR,JEMBER,WULUHAN,LOJEJER,"Dusun Krajan Rt 007 Rw 001, Lojejer, Kec. Wuluhan, Kab. Jember, Jawa Timur",SPPG Jember Wuluhan Lojejer,113.52251,-8.385841
JAWA TIMUR,GRESIK,MENGANTI,DOMAS,"Jl. Dusun Petal, Rt.14/Rw.05, Petal, Domas, Kecamatan Menganti, Kabupaten Gresik, Jawa Timur",SPPG Gresik Menganti Domas 2,112.568799,-7.281998
JAWA TIMUR,PROBOLINGGO,LUMBANG,LUMBANG,"Dusun Krajan Rt 05 Rw 02 Desa Lumbang, Kecamatan Lumbang, Kabupaten Probolinggo, Jawa Timur",SPPG Probolinggo Lumbang Lumbang,112.9616474,-7.8202935
JAWA TIMUR,BANYUWANGI,GENTENG,SETAIL,"Jl. Samiran, Desa Setail, Kecamatan Genteng, Kabupaten Banyuwangi, Jawa Timur",SPPG Banyuwangi Genteng Setail,114.141601,-8.366071
JAWA TIMUR,TRENGGALEK,TRENGGALEK,NGANTRU,"Jl Hayam Wuruk RT 09/RW 06, Kelurahan Ngantru, Kecamatan Trenggalek, Kabupaten Trenggalek",SPPG Trenggalek Trenggalek Ngantru 2,111.703479103853,-8.046936590812
JAWA TIMUR,BANYUWANGI,GENTENG,KALIGONDO,Desa kaligondo desun wadung dolah rt/rw 17/05,SPPG Banyuwangi Genteng Kaligondo,114.116864,-8.337625
JAWA TIMUR,TRENGGALEK,DURENAN,SUMBERGAYAM,"Jl. Raya Karangrejo Sumbergayam, Kec. Durenan, Kab. Trenggalek, Jawa Timur",SPPG Trenggalek Durenan Sumbergayam 2,111.8208552,-8.1058041
JAWA TIMUR,BANGKALAN,KLAMPIS,TENGGUN DAJAH,"Jl. Raya Klampis Dusun Larangan, Tenggun Dajah, Kec. Klampis, Kab. Bangkalan, Jawa Timur",SPPG Bangkalan Klampis Tenggun Dajah,112.928752867696,-6.894910398981
JAWA TIMUR,SAMPANG,KEDUNGDUNG,DALEMAN,"Jl. Raya Kedungdung, Daleman, Kec. Kedungdung, Kab. Sampang, Jawa Timur",SPPG Sampang Kedungdung Daleman,113.270951,-7.069122
JAWA TIMUR,SIDOARJO,CANDI,SEPANDE,"Sepande, Kecamatan Candi, Kabupaten Sidoarjo, Jawa Timur",SPPG Sidoarjo Candi Sepande,112.6966958,-7.4613167
JAWA TIMUR,BOJONEGORO,BOJONEGORO,LEDOK KULON,"Pondok Asri, Kelurahan Ledok Kulon, Kecamatan Bojonegoro, Kabupaten Bojonegoro, Jawa Timur.",SPPG Bojonegoro Bojonegoro Ledok Kulon,111.8762501,-7.1406289
JAWA TIMUR,NGAWI,WIDODAREN,WALIKUKUN,"Jl. H Agus Salim Rt. 01 Rw. 03, Walikukun, Kec. Widodaren, Kab. Ngawi, Jawa Timur",SPPG Ngawi Widodaren Walikukun 2,111.2265543,-7.4065751
JAWA TIMUR,PACITAN,NAWANGAN,TOKAWI,"Jl. Nawangan Purwantoro Rt 03 Rw 01 Dusun Krajan, Desa Tokawi, Kec. Nawangan, Kab. Pacitan, Jawa Timur",SPPG Pacitan Nawangan Tokawi 2,111.136936,-7.996962
JAWA TIMUR,MALANG,PUJON,NGABAB,"Dusun Lemburejo, Ngabab, Kec. Pujon, Kab. Malang, Jawa Timur",SPPG Malang Pujon Ngabab,112.4344214,-7.8353153
JAWA TIMUR,TULUNGAGUNG,NGUNUT,NGUNUT,"Jl. Recobarong, Kec. Ngunut, Kab.Tulungagung, Jawa Timur",SPPG Tulungagung Ngunut Ngunut 2,112.008397503125,-8.110361425723
JAWA TIMUR,JEMBER,SUMBERSARI,TEGALGEDE,"Jl. Danau Toba No. 16 A, Tegalgede, Kec. Sumbersari, Kab. Jember, Jawa Timur",SPPG Jember Sumbersari Tegalgede 3,113.717120117843,-8.155409002778
JAWA TIMUR,PROBOLINGGO,SUMBERASIH,LEMAH KEMBAR,"Dusun Kalisat Rt, 008 Rw 002, Desa Lemah Kembar, Kec. Sumberasih, Kab. Probolinggo, Jawa Timur",SPPG Probolinggo Sumberasih Lemah Kembar,113.1558794,-7.748754
JAWA TIMUR,PONOROGO,PONOROGO,SURODIKRAMAN,"Jl. Veteran RT 5 RW 1 Kel. Surodikraman Kec. Ponorogo, Kab. Ponorogo, Jawa  Timur",SPPG Ponorogo Ponorogo Surodikraman,111.473840860855,-7.874092390636
JAWA TIMUR,SAMPANG,TORJUN,TORJUN,"Jalan Raya Torjun - Sampang, Dusun Tobatoh Kecamatan Torjun, Kabupaten Sampang, Jawa Timur",SPPG Sampang Torjun Torjun,113.198967770398,-7.15599207952
JAWA TIMUR,BOJONEGORO,KEPOHBARU,KEPOH,"Dusun Bakalan, Desa Kepoh, Kec. Kepohbaru, Kab. Bojonegoro, Jawa Timur",SPPG Bojonegoro Kepohbaru Kepoh 2,112.086362,-7.217973
JAWA TIMUR,MOJOKERTO,SOOKO,SOOKO,"Jl. Sooko Gang 4 No 56 Desa Sooko, Kecamatan Sooko, Kabupaten Mojokerto, Jawa Timur",SPPG Mojokerto Sooko Sooko 2,112.425472821792,-7.487838093771
JAWA TIMUR,KEDIRI,PARE,TULUNGREJO,JL. HOS Cokroaminoto DS. Tulungrejo,SPPG Kediri Pare Tulungrejo,112.198635246156,-7.753483393095
JAWA TIMUR,PAMEKASAN,BATUMARMAR,PONJANAN TIMUR,"Dusun Bagunung, Desa Ponjanan Timur, Kec Batu Marmar Pamekasan",SPPG Pamekasan Batumarmar Ponjanan Timur,113.5249692,-6.9427493
JAWA TIMUR,SIDOARJO,SUKODONO,KEBONAGUNG,"kavling dusun kebonagung rt. 18 rw. 06 desa. kebonagung kec. sukodono, sidoarjo",SPPG Sidoarjo Sukodono Kebonagung,112.673138,-7.424704
JAWA TIMUR,MAGETAN,MAGETAN,TAMBRAN,jl. s.parman Rt02/Rw01,SPPG Magetan Magetan Tambran,111.334388775391,-7.651518307411
JAWA TIMUR,KOTA MADIUN,MANGUHARJO,NAMBANGAN LOR,"Jalan Tirta Raya, Kel. Nambangan Lor, Kec. Manguharjo",SPPG Kota Madiun Manguharjo Nambangan Lor 1,111.502111840373,-7.629628437465
JAWA TIMUR,MOJOKERTO,PACET,KEMBANGBELOR,"Jl. Tirtowening No. 2 Kembang, Belor, Kembangbelor, Kec. Pacet, Kabupaten Mojokerto, Jawa Timur",SPPG Mojokerto Pacet Kembangbelor 2,112.554652,-7.646705
JAWA TIMUR,MOJOKERTO,PACET,KEMBANGBELOR,"Komplek PP. Amanatul Ummah, Jl. Raya KH. Abdul Chalim No.1, Paras, Kembangbelor, Kec. Pacet, Kab. Mojokerto, Jawa Timur 61374",SPPG Mojokerto Pacet Kembangbelor 1,112.56,-7.6514
JAWA TIMUR,BOJONEGORO,BOJONEGORO,KLANGON,"Taman rejekwesi, Jl. Rajekwesi",SPPG Bojonegoro Bojonegoro Klangon,111.8719395,-7.1576294
JAWA TIMUR,BANYUWANGI,ROGOJAMPI,KARANGBENDO,"Jalan Raya Sempi RT 001 RW 005, Desa Karangbendo, Kecamatan Rogojampi, Kabupaten Banyuwangi",SPPG Banyuwangi Rogojampi Karangbendo,114.3171876,-8.3062937
JAWA TIMUR,JEMBER,PATRANG,JEMBERLOR,"Jl. Cempedak No. 97, RT 04/RW 06, Lingkungan Kreongan Atas, Kel Jember Lor, Kec Patrang, Kab Jember, Jawa Timur",SPPG Jember Patrang Jemberlor,113.707069211503,-8.153325385951
JAWA TIMUR,TULUNGAGUNG,KEDUNGWARU,RINGINPITU,"Jl. Iswahyudi, Rt.05/Rw.01, Ringinsari, Ringinpitu, Kecamatan Kedungwaru, Kabupaten Tulungagung, Jawa Timur",SPPG Tulungagung Kedungwaru Ringinpitu,111.9301672,-8.0573128
JAWA TIMUR,NGAWI,KEDUNGGALAR,KAWU,"Desa Kawu Kecamatan Kedunggalar Kababupaten Ngawi, Jawa Timur",SPPG Ngawi Kedunggalar Kawu,111.3680176,-7.395352
JAWA TIMUR,LUMAJANG,LUMAJANG,ROGOTRUNAN,"Jl. Alun Alun Utara, Kel. Rogotrunan, Kec. Lumajang, Kab. Lumajang, Jawa Timur",SPPG Lumajang Lumajang Rogotrunan 2,113.224662041159,-8.134362009182
JAWA TIMUR,MOJOKERTO,NGORO,NGORO,"Dusun Kecapangan Desa Ngoro Rt. 05 Rw. 05, Kec. Ngoro, Kab. Mojokerto, Jawa Timur",SPPG Mojokerto Ngoro Ngoro 2,112.622334229673,-7.557969621748
JAWA TIMUR,TUBAN,WIDANG,SIMOREJO,"Gilis, Simorejo, Kecamatan Widang, Kabupaten Tuban, Jawa Timur",SPPG Tuban Widang Simorejo 2,112.212632,-7.042962
JAWA TIMUR,KOTA MALANG,LOWOKWARU,TUNGGULWULUNG,"Jalan Akordion Utara No. 3, Tunggulwulung, Lowokwaru, Kota Malang",SPPG Kota Malang Lowokwaru Tunggulwulung,112.616209,-7.932122
JAWA TIMUR,PAMEKASAN,PALENGAAN,KACOK,"Pp. Miftahul Ulum Kebun Baru, Kacok, Kec. Palenggaan, Kab. Pamekasan, Jawa Timur",SPPG Pamekasan Palengaan Kacok,113.4523,-7.0761
JAWA TIMUR,BANGKALAN,KAMAL,KAMAL,"Desa Kebun, Kecamatan Kamal, Kabupaten Bangkalan, Jawa Timur",SPPG Bangkalan Kamal Kamal 3,112.7274896189,-7.166342064417
JAWA TIMUR,BOJONEGORO,SUMBEREJO,SUMURAGUNG,"DUSUN BADUG RT. 004 RW.002
DS. SUMURAGUNG KEC. SUMBERREJO KAB. BOJONEGORO 
PROVINSI JAWA TIMUR",SPPG Bojonegoro Sumberejo Sumuragung,111.9950232,-7.1814885
JAWA TIMUR,TRENGGALEK,DONGKO,DONGKO,"RT 046 RW 010, Dusun Kasihan, Desa Dongko, Kecamatan Dongko, Kabupaten Trenggalek, Jawa Timur",SPPG Trenggalek Dongko Dongko 3,111.573344720491,-8.179455269538
JAWA TIMUR,TUBAN,MONTONG,TALUN,"Desa Talun, Kecamatan Montong, Kabupaten Tuban, Jawa Timur",SPPG Tuban Montong Talun,111.9249428,-6.9525995
JAWA TIMUR,TULUNGAGUNG,TULUNGAGUNG,BAGO,"Jl. Jenderal Ahmad Yani Timur Gg. Iii No. 57, Bago, Kecamatan Tulungagung Jawa Timur",SPPG Tulungagung Tulungagung Bago 4,111.90412789806,-8.069444837109
JAWA TIMUR,MAGETAN,BARAT,MANGGE,"Jl. Kanti, Desa Mangge, Kecamatan Barat, Kabupaten Magetan, Jawa Timur",SPPG Magetan Barat Mangge,111.451742,-7.559109
